time,price
22-12-2020,48.81
22-12-2020,48.8
22-12-2020,48.81
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.74
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.74
22-12-2020,48.73
22-12-2020,48.74
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.77
22-12-2020,48.76
22-12-2020,48.77
22-12-2020,48.76
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.77
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.74
22-12-2020,48.73
22-12-2020,48.72
22-12-2020,48.73
22-12-2020,48.74
22-12-2020,48.73
22-12-2020,48.74
22-12-2020,48.73
22-12-2020,48.74
22-12-2020,48.73
22-12-2020,48.71
22-12-2020,48.73
22-12-2020,48.72
22-12-2020,48.73
22-12-2020,48.71
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.74
22-12-2020,48.7
22-12-2020,48.71
22-12-2020,48.72
22-12-2020,48.73
22-12-2020,48.71
22-12-2020,48.7
22-12-2020,48.69
22-12-2020,48.7
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.69
22-12-2020,48.7
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.75
22-12-2020,48.74
22-12-2020,48.64
22-12-2020,48.65
22-12-2020,48.64
22-12-2020,48.65
22-12-2020,48.64
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.68
22-12-2020,48.67
22-12-2020,48.68
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.67
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.64
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.69
22-12-2020,48.68
22-12-2020,48.67
22-12-2020,48.64
22-12-2020,48.63
22-12-2020,48.64
22-12-2020,48.63
22-12-2020,48.64
22-12-2020,48.63
22-12-2020,48.64
22-12-2020,48.65
22-12-2020,48.64
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.65
22-12-2020,48.66
22-12-2020,48.71
22-12-2020,48.72
22-12-2020,48.71
22-12-2020,48.72
22-12-2020,48.71
22-12-2020,48.73
22-12-2020,48.71
22-12-2020,48.73
22-12-2020,48.74
22-12-2020,48.73
22-12-2020,48.74
22-12-2020,48.75
22-12-2020,48.74
22-12-2020,48.73
22-12-2020,48.72
22-12-2020,48.73
22-12-2020,48.71
22-12-2020,48.72
22-12-2020,48.73
22-12-2020,48.74
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.77
22-12-2020,48.76
22-12-2020,48.77
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.77
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.8
